Brian Myer,10,6,11,7,14,10
Timothy Grove,15,9,9,10
Donald Mcatee,2,9,4,8,5,10
Paul Knowles,6,10,7,8,4,6,5,6
Ryan Blaisdell,10,8,12,8
Timothy Roberts,11,10,14,7,13,5
Charles Wood,10,7,13,5
Tracy Kieffer,1,6,3,9,6,10,7,9
Shaun Butler,4,9,5,8,1,6,3,8
Troy Frazee,8,7,4,6,5,9
Ryan Meyer,2,10,8,9
David Valdes,13,10,10,8
Donald Prieto,2,10,1,8,3,7
Joesph Smith,10,7,12,7
Sam Oconnor,9,5,10,10
Frank Cosgrove,2,6,6,6,7,9
Patrick Johnson,6,9,7,8,1,10,3,5
Nathan Bates,6,7,7,10,2,10
Charles Stuart,12,5,9,9
Richard Parnell,11,7,14,5,10,7
Robert Ayre,6,5,7,9,4,7,5,9
Jesus Rivera,10,10,11,5,14,10
Robert Craig,15,7,10,7
Robert Mitchell,9,5,15,9
Paul Strange,2,10,8,10
Brian Thompson,10,10,12,7
Paul Janney,15,7,11,9,14,10
Peter Dattilo,4,5,5,7,2,7
James Keller,1,8,3,7,6,8,7,10
John Saad,12,8,13,7
Mark Candler,11,7,14,6,10,8
Patrick Banister,8,8,2,7
Robert Jenkins,12,10,11,9,14,9
Mathew Logan,8,9,6,5,7,10
Howard Sayers,11,5,14,6,10,7
Jerold Stewart,8,10,2,5
Shannon Benda,12,8,9,9
Kevin Wegner,12,9,13,5
Earnest Murray,4,10,5,8,1,6,3,9
Charles Lo,4,6,5,9,6,9,7,8
Reggie Petty,2,9,1,10,3,7
Mark Rooks,10,8,11,6,14,5
Steven Mcguire,11,7,14,6,12,8
Raymond Jenkins,6,9,7,7,8,5
Kurt Peters,1,5,3,9,8,5
Randall Lane,1,7,3,6,8,5
Stephen Blankenship,4,7,5,10,6,5,7,6
Peter Sapp,13,7,10,5
Joseph Dore,15,10,11,5,14,10
John King,1,8,3,10,6,8,7,7
Jeffry Mckinley,9,7,11,10,14,9
Jeffery Lassiter,9,6,10,9
Jared Britt,15,6,13,7
Damon Jones,13,9,10,9
Harold Antolin,13,6,15,6
Frank Haralson,9,8,15,5
John Anna,8,9,2,10
Edmundo James,11,10,14,9,12,9
William Held,2,5,4,9,5,9
Vincent Phillips,12,8,11,6,14,5
Roger Butcher,10,6,12,5
Jerome Willingham,11,7,14,7,12,7
Michael Tedesco,13,7,9,8
Cody Gordon,8,7,2,7
Russell Coleman,12,10,10,7
Kenneth Wheeler,4,8,5,10,6,8,7,8
Dennis Rindels,1,10,3,7,2,10
Jason Crosby,11,9,14,7,13,7
Jeffery Pressley,11,5,14,8,15,6
Eddie Woods,12,7,10,6
Matt Richmond,12,8,10,10
Rodney Abrahams,15,8,11,7,14,10
Leif Carlson,6,10,7,10,2,8
Joe Jennings,2,8,6,9,7,10
John Johnson,12,10,9,8
Guadalupe Klein,1,10,3,7,4,10,5,10
Robert Russo,13,5,12,8
Kerry Fanney,9,7,10,8
David Vitt,6,9,7,10,2,5
Gene Lampley,9,9,10,8
Steven Butts,15,10,11,5,14,6
Robert Allen,10,5,13,5
Henry Tran,13,6,9,7
Harold Hurtubise,12,5,11,6,14,5
Robert Hurt,2,6,6,10,7,10
Gary Cervantes,11,6,14,8,9,10
Richard Swenson,4,5,5,9,6,10,7,5
Joe Dekle,8,9,1,6,3,7
Brian Reyes,13,8,10,9
Mark Lillian,4,10,5,6,6,6,7,10
Brian Moreau,4,5,5,10,2,8
Luis Fowler,6,10,7,6,4,9,5,10
Willie Epstein,12,9,13,9
Keith Dion,6,6,7,7,8,5
Steven Smith,10,9,11,7,14,9
Scotty Weidner,12,5,11,7,14,5
Andrew Mcneil,1,10,3,8,8,7
Tony Sauls,1,8,3,8,8,7
Johnnie Paul,12,6,13,6
Luke Drew,8,9,1,10,3,6
